ruta,tipo,estado,accion,riesgo,justificacion,owner
docs/QUALITY_COVERAGE_DIAGNOSTIC.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/README.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/contexto_nucleos.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/ADAPTER_B_FASE6_CERTIFICACION_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/BASELINE_RELEASE_F6_F12_20260310.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/BUG_BOUNTY_LOCAL_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/CD_DEPLOY_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/CHECKLIST_PROMOCION_PRODUCCION_FASE6_7B_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/GL_FASE7A_CERTIFICACION_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/GL_FASE7B_INTERCOMPANY_CONSOLIDACION_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/GO_LIVE_BILLING_INVENTORY_F4_F5_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/GO_LIVE_FASE10_PROCUREMENT_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/GO_LIVE_FASE11_INTERCOMPANY_AVANZADO_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/GO_LIVE_FASE12_CIERRE_MENSUAL_CONTINUO_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/GO_LIVE_FASE8_PRODUCCION_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/GO_LIVE_FASE9_PROVIDER_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/MATRIZ_OWNERSHIP_SLA_FASE6_7B_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/PLAN_MAESTRO_F1_F12_CIERRE_OPERATIVO_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/PR_RELEASE_F1_F12_CHECKLIST.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/README.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/ROTACION_SECRETOS_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/SHADOW_LEDGER_FASE4A_CERTIFICACION_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/STAGING_FIRST_EJECUCION_TOTAL_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/import_export/EMPRESA_IMPORT_EXPORT_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/import_export/README.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/import_export/templates/CHECKLIST_DOCUMENTAL_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/import_export/templates/CONTRATO_CLIENTE_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/import_export/templates/CONTRATO_PROVEEDOR_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/import_export/templates/COTIZACION_LANDED_COST_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/import_export/templates/README.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/operacion/import_export/templates/RFQ_v1.0.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/repo_higiene/CHECKLIST_EJECUCION_REORG_v1.1.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/repo_higiene/POLITICA_CANONICO_Y_LEGACY_v1.1.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/repo_higiene/README.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
docs/repo_higiene/duplicados_software_v1.1.csv,soporte,activo,KEEP,bajo,archivo de soporte no generado,owner.architecture
docs/repo_higiene/inventario_software_v1.1.csv,soporte,activo,KEEP,bajo,archivo de soporte no generado,owner.architecture
docs/repo_higiene/resumen_reorganizacion_v1.1.md,documentacion,activo,KEEP,bajo,software/documentación propia en superficie canónica,owner.architecture
frontend/src/ARCHITECTURE_SPA_MODULAR.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/App.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/app/README.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/assets/quasar-logo-vertical.svg,soporte,activo,KEEP,bajo,archivo de soporte no generado,owner.frontend
frontend/src/boot/.gitkeep,soporte,activo,KEEP,bajo,archivo de soporte no generado,owner.frontend
frontend/src/boot/axios.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/components/EssentialLink.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/components/ExampleComponent.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/components/models.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/core/http/errors.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/core/storage/auth.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/core/storage/context.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/core/storage/keys.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/core/storage/ui.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/css/app.scss,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/css/quasar.variables.scss,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/entities/README.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/env.d.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/features/README.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/features/hr/employees/useHrEmployeesFeature.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/layouts/AuthLayout.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/layouts/MainLayout.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/AuditBitacoraPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/AuditEventsPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/BootstrapWizardPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/DashboardPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/ErrorNotFound.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/ForbiddenPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/ForcePasswordChangePage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/FuelDashboardPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/FuelHealthPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/HrEmployeesPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/HrPositionsPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/IndexPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/LoginPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/OrgBranchesPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/OrgCompaniesPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/OrgCompanyProfilePage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/README.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/SelectContextPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/SyncDevicesPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/SyncEnrollmentPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/TwoFactorPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/pages/TwoFactorSetupPage.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/router/index.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/router/routes.spec.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/router/routes.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/services/audit.service.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/services/fuel.service.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/services/hr.service.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/services/org.service.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/services/rbac.service.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/services/sync.service.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/shared/README.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/shared/http/__tests__/api-error.spec.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/shared/http/api-error.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/shared/ui/business-terms.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/stores/__tests__/auth.store.spec.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/stores/acl.store.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/stores/auth.store.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/stores/context.store.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/stores/example-store.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/stores/index.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/stores/ui.store.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/test/setup.ts,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/ui/AppContainer.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/ui/AppDataTable.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/ui/AppPageHeader.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/widgets/README.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
frontend/src/widgets/hr/HrEmployeesTableWidget.vue,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.frontend
login_module/src/BITACORA.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.unassigned
login_module/src/README.md,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.unassigned
login_module/src/apps/__init__.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.backend
login_module/src/apps/accounting/__init__.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/apps.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/certification.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/certification_phase11.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/certification_phase12.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/certification_phase7.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/certification_phase7b.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/__init__.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/__init__.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/approve_journal_drafts.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/certify_phase11_intercompany_sla.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/certify_phase12_monthly_determinism.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/certify_phase7_gl_run.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/certify_phase7b_consolidation.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/certify_phase8_cutover.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/certify_shadow_ledger_run.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/close_fiscal_period.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/compare_phase11_env_manifests.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/compare_phase12_env_manifests.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/compare_phase4_env_manifests.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/compare_phase7_env_manifests.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/compare_phase8_env_manifests.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/evaluate_phase8_rollback.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/explain_financial_queries.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_finance_operational_snapshot.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_gl_report.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_operational_load_snapshot.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_phase11_env_manifest.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_phase12_env_manifest.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_phase4_env_manifest.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_phase7_env_manifest.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_phase8_env_manifest.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_phase8_release_baseline.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/export_staging_preflight_manifest.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/manage_operational_posting_pilot.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/post_journal_drafts.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/project_shadow_ledger.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/record_operational_go_live_exception.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/record_operational_go_live_review.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/record_phase8_accountant_review.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/reverse_journal_entries_batch.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/reverse_journal_entry.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/run_consolidated_close.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/run_fx_revaluation.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/run_intercompany_cycle.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/run_phase11_intercompany_cycle.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/run_phase12_monthly_close.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/run_phase7_gl_cycle.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/run_phase8_burnin_cycle.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/run_shadow_ledger_cycle.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/seed_posting_rules_v1.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_operational_pilot_go_live.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase11_go_live.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase12_go_live.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase12_operational_slo.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase4_go_live.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase7_go_live.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase7b_go_live.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase8_accountant_signoff.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase8_burn_in.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/management/commands/verify_phase8_precutover.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/0001_initial.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/0002_shadow_ledger_phase4a.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/0003_phase5_sod_actor_trace.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/0004_phase7a_gl_core.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/0005_phase7b_intercompany_consolidation.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/0006_phase7b_performance_indexes.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/0007_phase11_intercompany_advanced.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/0008_operational_posting_config.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/migrations/__init__.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/models.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/phase7.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/phase7b.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/phase8.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/serializers.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/services.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/staging_ops.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/urls.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounting/views.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.accounting
login_module/src/apps/accounts/__init__.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.backend
login_module/src/apps/accounts/admin.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.backend
login_module/src/apps/accounts/apps.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.backend
login_module/src/apps/accounts/cookies.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.backend
login_module/src/apps/accounts/management/__init__.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.backend
login_module/src/apps/accounts/management/commands/__init__.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.backend
login_module/src/apps/accounts/management/commands/seed_auth_users.py,codigo-fuente,activo,KEEP,medio,software/documentación propia en superficie canónica,owner.backend
